time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,1.000000,-0.700000,-0.400000,-1.570000,0.000000,0.000000,0.000000,-1.000000,0.700000,0.400000,1.570000,0.000000,0.000000,0.000000
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264507,0.656796,0.399438,0.016940,-0.013046,0.985377,-0.698417,-0.388578,-1.581400,0.011470,0.004145,0.005835,-0.999890,0.760882,0.355293,1.628515,-0.046543,-0.075353,0.058526
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.281202,0.663100,0.398705,0.037029,-0.024139,0.970426,-0.698611,-0.376298,-1.595191,0.022650,0.006903,0.011626,-0.996493,0.822497,0.308984,1.679560,-0.094381,-0.150571,0.114643
0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.299930,0.668879,0.397731,0.060171,-0.033523,0.955096,-0.700477,-0.363180,-1.611128,0.033496,0.008323,0.017534,-0.989687,0.885308,0.261088,1.722563,-0.143641,-0.225455,0.168752
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.320530,0.674100,0.396438,0.086246,-0.041410,0.939384,-0.703915,-0.349269,-1.628906,0.043924,0.008392,0.023696,-0.979268,0.949679,0.211829,1.756776,-0.194206,-0.299691,0.221148
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342815,0.678720,0.394748,0.115091,-0.047953,0.923350,-0.708836,-0.334658,-1.648180,0.053797,0.007055,0.030213,-0.964992,1.015848,0.161724,1.781352,-0.245688,-0.372844,0.272045
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366567,0.682665,0.392607,0.146507,-0.053220,0.907118,-0.715150,-0.319512,-1.668599,0.062904,0.004218,0.037129,-0.946619,1.083889,0.111645,1.795481,-0.297439,-0.444380,0.321592
0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.391553,0.685806,0.390003,0.180293,-0.057191,0.890865,-0.722763,-0.304073,-1.689887,0.070956,-0.000237,0.044427,-0.923965,1.153672,0.062822,1.798571,-0.348625,-0.513713,0.369904
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.417557,0.687956,0.386989,0.216309,-0.059776,0.874785,-0.731562,-0.288660,-1.711912,0.077587,-0.006446,0.052048,-0.896937,1.224848,0.016741,1.790414,-0.398380,-0.580278,0.417100
0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.444422,0.688875,0.383677,0.254543,-0.060884,0.859036,-0.741407,-0.273631,-1.734737,0.082376,-0.014554,0.059925,-0.865518,1.296879,-0.025051,1.771265,-0.445981,-0.643611,0.463342
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.472090,0.688307,0.380236,0.295151,-0.060503,0.843693,-0.752115,-0.259350,-1.758603,0.084869,-0.024726,0.068040,-0.829706,1.369115,-0.061155,1.741776,-0.490984,-0.703398,0.508863
0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.502217,0.698791,0.383352,0.332822,-0.069988,0.830818,-0.758776,-0.244277,-1.778919,0.092704,-0.036130,0.075683,-0.796486,1.458077,-0.081582,1.680282,-0.534712,-0.733593,0.556677
0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533720,0.719308,0.392325,0.366319,-0.088070,0.820923,-0.761501,-0.228813,-1.795039,0.105430,-0.048486,0.082702,-0.764713,1.562114,-0.082005,1.587723,-0.577585,-0.733522,0.606293
0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.570021,0.780743,0.442379,0.422285,-0.071352,0.797908,-0.817687,-0.175593,-1.747670,0.135588,-0.119066,0.064885,-0.708553,1.605032,-0.103902,1.462304,-0.546420,-0.732916,0.720275
0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602742,0.856445,0.511029,0.500171,-0.029622,0.748970,-0.918136,-0.096748,-1.648407,0.173429,-0.221052,0.040234,-0.628976,1.604592,-0.133546,1.316427,-0.465414,-0.730482,0.858742
1.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.577526,0.870857,0.513390,0.446171,-0.040213,0.760360,-0.903330,-0.107211,-1.615294,0.183507,-0.201596,0.031071,-0.682876,1.547756,-0.136173,1.368014,-0.437001,-0.681208,0.813667
1.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.553777,0.883209,0.516808,0.397028,-0.050977,0.771245,-0.888227,-0.118474,-1.585317,0.190006,-0.185146,0.023060,-0.731174,1.487990,-0.132705,1.413774,-0.407423,-0.629452,0.770113
1.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531378,0.893551,0.520982,0.352187,-0.061220,0.781911,-0.873133,-0.130423,-1.558529,0.193495,-0.171232,0.015823,-0.774584,1.425781,-0.123476,1.453481,-0.376590,-0.575038,0.727781
1.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.510181,0.901928,0.525683,0.311161,-0.070390,0.792569,-0.858347,-0.142941,-1.534831,0.194408,-0.159477,0.009060,-0.813683,1.361566,-0.108852,1.486800,-0.344378,-0.517838,0.686374
1.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.490039,0.908395,0.530737,0.273515,-0.078061,0.803369,-0.844142,-0.155912,-1.514020,0.193081,-0.149590,0.002544,-0.848925,1.295767,-0.089255,1.513324,-0.310670,-0.457786,0.645597
1.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.470826,0.913029,0.536002,0.238882,-0.083923,0.814414,-0.830762,-0.169219,-1.495833,0.189783,-0.141355,-0.003897,-0.880652,1.228803,-0.065191,1.532613,-0.275387,-0.394881,0.605149
1.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.452446,0.915924,0.541365,0.206962,-0.087761,0.825767,-0.818418,-0.182746,-1.479990,0.184750,-0.134614,-0.010380,-0.909111,1.161094,-0.037251,1.544236,-0.238513,-0.329198,0.564729
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.434846,0.917190,0.546737,0.177531,-0.089438,0.837456,-0.807290,-0.196371,-1.466227,0.178191,-0.129258,-0.016986,-0.934478,1.093039,-0.006105,1.547819,-0.200113,-0.260878,0.524024
2.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.418012,0.916948,0.552053,0.150441,-0.088864,0.849486,-0.797534,-0.209971,-1.454328,0.170301,-0.125220,-0.023771,-0.956880,1.025003,0.027530,1.543089,-0.160324,-0.190125,0.482709
2.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.401971,0.915321,0.557277,0.125605,-0.085976,0.861847,-0.789285,-0.223429,-1.444142,0.161256,-0.122468,-0.030778,-0.976421,0.957285,0.062944,1.529898,-0.119324,-0.117192,0.440437
2.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386788,0.912431,0.562403,0.102992,-0.080714,0.874529,-0.782661,-0.236640,-1.435585,0.151215,-0.121002,-0.038056,-0.993190,0.890096,0.099477,1.508230,-0.077285,-0.042350,0.396831
2.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.372555,0.908396,0.567452,0.082610,-0.073001,0.887537,-0.777773,-0.249516,-1.428638,0.140309,-0.120853,-0.045670,-1.007276,0.823540,0.136569,1.478170,-0.034317,0.034127,0.351465
2.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.359395,0.903332,0.572471,0.064492,-0.062734,0.900900,-0.774725,-0.261988,-1.423335,0.128647,-0.122095,-0.053712,-1.018756,0.757603,0.173783,1.439865,0.009592,0.111998,0.303846
2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.347456,0.897356,0.577528,0.048694,-0.049769,0.914679,-0.773623,-0.274010,-1.419741,0.116312,-0.124850,-0.062307,-1.027688,0.692150,0.210807,1.393463,0.054625,0.191063,0.253375
